m, c, val,
400, 795.775, 2.07946e-07,
400, 1591.55, 2.51529e-07,
400, 2387.32, 5.37924e-07,
400, 3183.1, 9.69183e-07,
400, 3978.87, 1.313e-06,
400, 4774.65, 1.9352e-06,
400, 5570.42, 2.63664e-06,
400, 6366.2, 3.28481e-06,
400, 7161.97, 4.20603e-06,
400, 7957.75, 5.21497e-06,
400, 8753.52, 6.19682e-06,
400, 9549.3, 7.39017e-06,
400, 10345.1, 8.73382e-06,
400, 11140.8, 9.98782e-06,
400, 11936.6, 1.15177e-05,
400, 12732.4, 1.31303e-05,
400, 13528.2, 1.47232e-05,
400, 14323.9, 1.65221e-05,
400, 15119.7, 1.84664e-05,
400, 15915.5, 2.03366e-05,
400, 16711.3, 2.24637e-05,
400, 17507, 2.47104e-05,
400, 18302.8, 2.68829e-05,
400, 19098.6, 2.93103e-05,
400, 19894.4, 3.18554e-05,
400, 20690.1, 3.43312e-05,
400, 21485.9, 3.70549e-05,
400, 22281.7, 3.98944e-05,
400, 23077.5, 4.28117e-05,
400, 23873.2, 4.56907e-05,
400, 24669, 4.88208e-05,
400, 25464.8, 5.20641e-05,
400, 26260.6, 5.52111e-05,
400, 27056.3, 5.86282e-05,
400, 27852.1, 6.21567e-05,
400, 28647.9, 6.56382e-05,
400, 29443.7, 6.93104e-05,
400, 30239.4, 7.31207e-05,
400, 31035.2, 7.68932e-05,
400, 31831, 8.08775e-05,
400, 32626.8, 8.49697e-05,
400, 33422.5, 8.91689e-05,
400, 34218.3, 9.32976e-05,
400, 35014.1, 9.76656e-05,
400, 35809.9, 0.000102139,
400, 36605.6, 0.000106519,
400, 37401.4, 0.000111157,
400, 38197.2, 0.000115898,
400, 38993, 0.000120589,
400, 39788.7, 0.000125493,
400, 40584.5, 0.000130499,
400, 41380.3, 0.000135465,
400, 42176.1, 0.00014063,
400, 42971.8, 0.000145924,
400, 43767.6, 0.000151286,
400, 44563.4, 0.000156575,
400, 45359.2, 0.00016209,
400, 46154.9, 0.000167703,
400, 46950.7, 0.000173253,
400, 47746.5, 0.000179016,
400, 48542.3, 0.000184877,
400, 49338, 0.000190709,
400, 50133.8, 0.00019671,
400, 50929.6, 0.000202806,
400, 51725.4, 0.000208854,
400, 52521.1, 0.000215124,
400, 53316.9, 0.000221449,
400, 54112.7, 0.000227868,
400, 54908.5, 0.000234199,
400, 55704.2, 0.000240783,
400, 56500, 0.000247423,
400, 57295.8, 0.00025398,
400, 58091.6, 0.000260782,
400, 58887.3, 0.000267638,
400, 59683.1, 0.000274415,
400, 60478.9, 0.000281425,
400, 61274.7, 0.000288493,
400, 62070.4, 0.000295506,
400, 62866.2, 0.000302691,
400, 63662, 0.000309991,
400, 64457.8, 0.000317172,
400, 65253.5, 0.000324587,
400, 66049.3, 0.000332048,
400, 66845.1, 0.000339453,
400, 67640.9, 0.000347023,
400, 68436.6, 0.000354703,
400, 69232.4, 0.000362258,
400, 70028.2, 0.000370041,
400, 70823.9, 0.000377903,
400, 71619.7, 0.000385626,
400, 72415.5, 0.000393585,
400, 73211.3, 0.00040162,
400, 74007, 0.000409502,
400, 74802.8, 0.000417628,
400, 75598.6, 0.000425681,
400, 76394.4, 0.000433863,
400, 77190.1, 0.000442148,
400, 77985.9, 0.000450342,
400, 78781.7, 0.000458716,
400, 79577.5, 0.000467122,
402, 795.775, 1.99061e-07,
402, 1591.55, 2.54269e-07,
402, 2387.32, 5.43826e-07,
402, 3183.1, 9.79994e-07,
402, 3978.87, 1.50495e-06,
402, 4774.65, 2.01789e-06,
402, 5570.42, 2.73787e-06,
402, 6366.2, 3.58325e-06,
402, 7161.97, 4.57374e-06,
402, 7957.75, 5.47879e-06,
402, 8753.52, 6.67048e-06,
402, 9549.3, 7.94939e-06,
402, 10345.1, 9.2339e-06,
402, 11140.8, 1.07109e-05,
402, 11936.6, 1.23384e-05,
402, 12732.4, 1.4053e-05,
402, 13528.2, 1.57662e-05,
402, 14323.9, 1.76804e-05,
402, 15119.7, 1.97387e-05,
402, 15915.5, 2.19191e-05,
402, 16711.3, 2.40305e-05,
402, 17507, 2.64058e-05,
402, 18302.8, 2.88685e-05,
402, 19098.6, 3.14726e-05,
402, 19894.4, 3.40479e-05,
402, 20690.1, 3.68211e-05,
402, 21485.9, 3.97359e-05,
402, 22281.7, 4.2768e-05,
402, 23077.5, 4.57727e-05,
402, 23873.2, 4.89644e-05,
402, 24669, 5.23017e-05,
402, 25464.8, 5.57537e-05,
402, 26260.6, 5.93197e-05,
402, 27056.3, 6.27907e-05,
402, 27852.1, 6.65425e-05,
402, 28647.9, 7.04066e-05,
402, 29443.7, 7.43821e-05,
402, 30239.4, 7.8301e-05,
402, 31035.2, 8.24635e-05,
402, 31831, 8.67353e-05,
402, 32626.8, 9.10826e-05,
402, 33422.5, 9.54072e-05,
402, 34218.3, 9.99676e-05,
402, 35014.1, 0.000104635,
402, 35809.9, 0.000109409,
402, 36605.6, 0.000114135,
402, 37401.4, 0.000119087,
402, 38197.2, 0.000124143,
402, 38993, 0.000129303,
402, 39788.7, 0.000134419,
402, 40584.5, 0.000139752,
402, 41380.3, 0.000145187,
402, 42176.1, 0.000150724,
402, 42971.8, 0.000156391,
402, 43767.6, 0.000161951,
402, 44563.4, 0.000167751,
402, 45359.2, 0.00017365,
402, 46154.9, 0.000179648,
402, 46950.7, 0.000185574,
402, 47746.5, 0.000191733,
402, 48542.3, 0.000198014,
402, 49338, 0.000204361,
402, 50133.8, 0.000210636,
402, 50929.6, 0.000217138,
402, 51725.4, 0.000223761,
402, 52521.1, 0.000230444,
402, 53316.9, 0.000237055,
402, 54112.7, 0.000243919,
402, 54908.5, 0.000250836,
402, 55704.2, 0.000257847,
402, 56500, 0.000264808,
402, 57295.8, 0.000271954,
402, 58091.6, 0.000279193,
402, 58887.3, 0.00028654,
402, 59683.1, 0.000293774,
402, 60478.9, 0.000301256,
402, 61274.7, 0.000308791,
402, 62070.4, 0.000316297,
402, 62866.2, 0.000323957,
402, 63662, 0.00033173,
402, 64457.8, 0.000339552,
402, 65253.5, 0.000347329,
402, 66049.3, 0.000355271,
402, 66845.1, 0.000363316,
402, 67640.9, 0.000371443,
402, 68436.6, 0.000379442,
402, 69232.4, 0.000387677,
402, 70028.2, 0.00039599,
402, 70823.9, 0.00040419,
402, 71619.7, 0.000412605,
402, 72415.5, 0.000421093,
402, 73211.3, 0.000429618,
402, 74007, 0.000438071,
402, 74802.8, 0.000446725,
402, 75598.6, 0.00045545,
402, 76394.4, 0.000464049,
402, 77190.1, 0.000472861,
402, 77985.9, 0.000481741,
402, 78781.7, 0.000490538,
402, 79577.5, 0.000499504,
404, 795.775, 1.90824e-07,
404, 1591.55, 3.92904e-07,
404, 2387.32, 5.58142e-07,
404, 3183.1, 1.00573e-06,
404, 3978.87, 1.54508e-06,
404, 4774.65, 2.24095e-06,
404, 5570.42, 3.02243e-06,
404, 6366.2, 3.76686e-06,
404, 7161.97, 4.79578e-06,
404, 7957.75, 5.91921e-06,
404, 8753.52, 7.19329e-06,
404, 9549.3, 8.56048e-06,
404, 10345.1, 9.91805e-06,
404, 11140.8, 1.15005e-05,
404, 11936.6, 1.3234e-05,
404, 12732.4, 1.50613e-05,
404, 13528.2, 1.70358e-05,
404, 14323.9, 1.89557e-05,
404, 15119.7, 2.11441e-05,
404, 15915.5, 2.34581e-05,
404, 16711.3, 2.58614e-05,
404, 17507, 2.84126e-05,
404, 18302.8, 3.10875e-05,
404, 19098.6, 3.36851e-05,
404, 19894.4, 3.65698e-05,
404, 20690.1, 3.95762e-05,
404, 21485.9, 4.267e-05,
404, 22281.7, 4.59089e-05,
404, 23077.5, 4.91221e-05,
404, 23873.2, 5.25755e-05,
404, 24669, 5.61131e-05,
404, 25464.8, 5.97958e-05,
404, 26260.6, 6.35958e-05,
404, 27056.3, 6.75123e-05,
404, 27852.1, 7.13952e-05,
404, 28647.9, 7.54874e-05,
404, 29443.7, 7.97209e-05,
404, 30239.4, 8.40686e-05,
404, 31035.2, 8.85296e-05,
404, 31831, 9.31033e-05,
404, 32626.8, 9.76364e-05,
404, 33422.5, 0.000102409,
404, 34218.3, 0.000107293,
404, 35014.1, 0.000112286,
404, 35809.9, 0.000117389,
404, 36605.6, 0.0001226,
404, 37401.4, 0.000127765,
404, 38197.2, 0.000133168,
404, 38993, 0.000138677,
404, 39788.7, 0.000144293,
404, 40584.5, 0.000150014,
404, 41380.3, 0.00015584,
404, 42176.1, 0.000161613,
404, 42971.8, 0.000167651,
404, 43767.6, 0.000173759,
404, 44563.4, 0.000179969,
404, 45359.2, 0.000186282,
404, 46154.9, 0.000192695,
404, 46950.7, 0.000199077,
404, 47746.5, 0.000205658,
404, 48542.3, 0.00021234,
404, 49338, 0.00021912,
404, 50133.8, 0.000226027,
404, 50929.6, 0.000232847,
404, 51725.4, 0.000239886,
404, 52521.1, 0.000247051,
404, 53316.9, 0.000254272,
404, 54112.7, 0.000261589,
404, 54908.5, 0.000269026,
404, 55704.2, 0.000276359,
404, 56500, 0.000283921,
404, 57295.8, 0.000291595,
404, 58091.6, 0.000299331,
404, 58887.3, 0.00030718,
404, 59683.1, 0.00031493,
404, 60478.9, 0.000322922,
404, 61274.7, 0.000330969,
404, 62070.4, 0.000339125,
404, 62866.2, 0.00034737,
404, 63662, 0.000355499,
404, 64457.8, 0.000363873,
404, 65253.5, 0.000372292,
404, 66049.3, 0.000380819,
404, 66845.1, 0.000389428,
404, 67640.9, 0.000397912,
404, 68436.6, 0.000406638,
404, 69232.4, 0.000415441,
404, 70028.2, 0.000424282,
404, 70823.9, 0.00043308,
404, 71619.7, 0.000442066,
404, 72415.5, 0.000451125,
404, 73211.3, 0.000460217,
404, 74007, 0.000469409,
404, 74802.8, 0.000478502,
404, 75598.6, 0.000487797,
404, 76394.4, 0.000497159,
404, 77190.1, 0.000506586,
404, 77985.9, 0.000515878,
404, 78781.7, 0.000525394,
