m, c, val,
400, 795.775, 1.60545e-07,
400, 1591.55, 2.16811e-07,
400, 2387.32, 4.68707e-07,
400, 3183.1, 8.41792e-07,
400, 3978.87, 1.29901e-06,
400, 4774.65, 1.75369e-06,
400, 5570.42, 2.38462e-06,
400, 6366.2, 3.14338e-06,
400, 7161.97, 3.98073e-06,
400, 7957.75, 4.81537e-06,
400, 8753.52, 5.82809e-06,
400, 9549.3, 6.96951e-06,
400, 10345.1, 8.18986e-06,
400, 11140.8, 9.4031e-06,
400, 11936.6, 1.08005e-05,
400, 12732.4, 1.23216e-05,
400, 13528.2, 1.39492e-05,
400, 14323.9, 1.55181e-05,
400, 15119.7, 1.73195e-05,
400, 15915.5, 1.9201e-05,
400, 16711.3, 2.12038e-05,
400, 17507, 2.31796e-05,
400, 18302.8, 2.53371e-05,
400, 19098.6, 2.76161e-05,
400, 19894.4, 2.99982e-05,
400, 20690.1, 3.23545e-05,
400, 21485.9, 3.48847e-05,
400, 22281.7, 3.75392e-05,
400, 23077.5, 4.0295e-05,
400, 23873.2, 4.30263e-05,
400, 24669, 4.593e-05,
400, 25464.8, 4.89544e-05,
400, 26260.6, 5.20785e-05,
400, 27056.3, 5.51794e-05,
400, 27852.1, 5.84731e-05,
400, 28647.9, 6.18649e-05,
400, 29443.7, 6.53541e-05,
400, 30239.4, 6.87989e-05,
400, 31035.2, 7.24524e-05,
400, 31831, 7.62023e-05,
400, 32626.8, 8.00483e-05,
400, 33422.5, 8.38746e-05,
400, 34218.3, 8.7883e-05,
400, 35014.1, 9.1986e-05,
400, 35809.9, 9.61832e-05,
400, 36605.6, 0.000100474,
400, 37401.4, 0.000104718,
400, 38197.2, 0.000109167,
400, 38993, 0.00011373,
400, 39788.7, 0.00011836,
400, 40584.5, 0.000122945,
400, 41380.3, 0.000127729,
400, 42176.1, 0.000132603,
400, 42971.8, 0.000137569,
400, 43767.6, 0.000142486,
400, 44563.4, 0.000147623,
400, 45359.2, 0.000152821,
400, 46154.9, 0.000158109,
400, 46950.7, 0.000163346,
400, 47746.5, 0.000168803,
400, 48542.3, 0.000174318,
400, 49338, 0.00017992,
400, 50133.8, 0.000185466,
400, 50929.6, 0.000191229,
400, 51725.4, 0.000197051,
400, 52521.1, 0.000202842,
400, 53316.9, 0.000208822,
400, 54112.7, 0.000214861,
400, 54908.5, 0.000221006,
400, 55704.2, 0.000227078,
400, 56500, 0.000233329,
400, 57295.8, 0.000239677,
400, 58091.6, 0.000246084,
400, 58887.3, 0.000252452,
400, 59683.1, 0.000258981,
400, 60478.9, 0.000265607,
400, 61274.7, 0.00027217,
400, 62070.4, 0.000278913,
400, 62866.2, 0.000285736,
400, 63662, 0.000292603,
400, 64457.8, 0.000299435,
400, 65253.5, 0.000306416,
400, 66049.3, 0.000313492,
400, 66845.1, 0.000320519,
400, 67640.9, 0.000327678,
400, 68436.6, 0.000334931,
400, 69232.4, 0.000342254,
400, 70028.2, 0.000349476,
400, 70823.9, 0.000356898,
400, 71619.7, 0.000364388,
400, 72415.5, 0.000371807,
400, 73211.3, 0.000379371,
400, 74007, 0.000387022,
400, 74802.8, 0.000394601,
400, 75598.6, 0.000402345,
