m, c, val,
160, 127.324, 0.000323998,
160, 254.648, 0.000649135,
160, 381.972, 0.000975203,
160, 509.296, 0.00129857,
160, 636.62, 0.0016224,
160, 763.944, 0.001949,
160, 891.268, 0.00227258,
160, 1018.59, 0.00259659,
160, 1145.92, 0.00291973,
160, 1273.24, 0.00324372,
160, 1400.56, 0.00356779,
160, 1527.89, 0.00389084,
160, 1655.21, 0.00421331,
160, 1782.54, 0.00453807,
160, 1909.86, 0.00486002,
160, 2037.18, 0.00518323,
160, 2164.51, 0.00550341,
160, 2291.83, 0.00582537,
160, 2419.16, 0.00614764,
160, 2546.48, 0.00646876,
160, 2673.8, 0.00678831,
160, 2801.13, 0.00710891,
160, 2928.45, 0.00742815,
160, 3055.77, 0.0077482,
160, 3183.1, 0.00806691,
160, 3310.42, 0.00838492,
160, 3437.75, 0.0087032,
160, 3565.07, 0.00902046,
160, 3692.39, 0.00933775,
160, 3819.72, 0.00965344,
160, 3947.04, 0.00996976,
160, 4074.37, 0.0102859,
160, 4201.69, 0.0106005,
160, 4329.01, 0.0109145,
160, 4456.34, 0.0112301,
160, 4583.66, 0.0115417,
160, 4710.99, 0.0118545,
160, 4838.31, 0.012167,
160, 4965.63, 0.0124773,
160, 5092.96, 0.012787,
160, 5220.28, 0.0130981,
160, 5347.61, 0.013406,
160, 5474.93, 0.0137167,
160, 5602.25, 0.0140291,
160, 5729.58, 0.0143373,
160, 5856.9, 0.0146449,
160, 5984.23, 0.014954,
160, 6111.55, 0.0152608,
160, 6238.87, 0.0155672,
160, 6366.2, 0.015873,
160, 6493.52, 0.0161783,
160, 6620.85, 0.0164815,
160, 6748.17, 0.0167857,
160, 6875.49, 0.0170893,
160, 7002.82, 0.0173906,
160, 7130.14, 0.0176914,
160, 7257.47, 0.0179915,
160, 7384.79, 0.0182909,
160, 7512.11, 0.0185881,
160, 7639.44, 0.0188846,
160, 7766.76, 0.0191821,
160, 7894.09, 0.0194771,
160, 8021.41, 0.0197715,
160, 8148.73, 0.0200652,
160, 8276.06, 0.0203565,
160, 8403.38, 0.0206486,
160, 8530.7, 0.0209399,
160, 8658.03, 0.0212274,
160, 8785.35, 0.0215169,
160, 8912.68, 0.0218028,
160, 9040, 0.0220892,
160, 9167.32, 0.0223748,
160, 9294.65, 0.0226579,
160, 9421.97, 0.0229416,
160, 9549.3, 0.0232219,
160, 9676.62, 0.0235034,
160, 9803.94, 0.0237819,
160, 9931.27, 0.02406,
160, 10058.6, 0.0243368,
160, 10185.9, 0.0246119,
160, 10313.2, 0.0248866,
160, 10440.6, 0.0251594,
