m, c, val,
160, 127.324, 0.00027755,
160, 254.648, 0.000553577,
160, 381.972, 0.00082792,
160, 509.296, 0.00110389,
160, 636.62, 0.00138041,
160, 763.944, 0.00165615,
160, 891.268, 0.0019318,
160, 1018.59, 0.00220734,
160, 1145.92, 0.00248047,
160, 1273.24, 0.00275496,
160, 1400.56, 0.00302985,
160, 1527.89, 0.00330395,
160, 1655.21, 0.00357782,
160, 1782.54, 0.00385145,
160, 1909.86, 0.00412482,
160, 2037.18, 0.00439741,
160, 2164.51, 0.00467034,
160, 2291.83, 0.00494288,
160, 2419.16, 0.00521579,
160, 2546.48, 0.00548785,
160, 2673.8, 0.00575772,
160, 2801.13, 0.00602869,
160, 2928.45, 0.00629993,
160, 3055.77, 0.00657033,
160, 3183.1, 0.00684093,
160, 3310.42, 0.00711067,
160, 3437.75, 0.00738007,
160, 3565.07, 0.0076491,
160, 3692.39, 0.00791729,
160, 3819.72, 0.00818555,
160, 3947.04, 0.00845295,
160, 4074.37, 0.00871995,
160, 4201.69, 0.00898651,
160, 4329.01, 0.00925262,
160, 4456.34, 0.00951826,
160, 4583.66, 0.00978341,
160, 4710.99, 0.0100477,
160, 4838.31, 0.0103116,
160, 4965.63, 0.0105751,
160, 5092.96, 0.0108384,
160, 5220.28, 0.0111021,
160, 5347.61, 0.0113653,
160, 5474.93, 0.0116278,
160, 5602.25, 0.0118898,
160, 5729.58, 0.0121512,
160, 5856.9, 0.0124121,
160, 5984.23, 0.0126701,
160, 6111.55, 0.0129298,
160, 6238.87, 0.0131888,
160, 6366.2, 0.0134473,
160, 6493.52, 0.0137051,
160, 6620.85, 0.0139623,
160, 6748.17, 0.0142188,
160, 6875.49, 0.0144747,
160, 7002.82, 0.0147276,
160, 7130.14, 0.0149821,
160, 7257.47, 0.0152359,
160, 7384.79, 0.0154889,
160, 7512.11, 0.0157414,
160, 7639.44, 0.0159908,
160, 7766.76, 0.0162417,
160, 7894.09, 0.0164918,
160, 8021.41, 0.0167411,
160, 8148.73, 0.016988,
160, 8276.06, 0.0172379,
160, 8403.38, 0.0174871,
160, 8530.7, 0.0177333,
160, 8658.03, 0.017981,
160, 8785.35, 0.0182258,
160, 8912.68, 0.0184719,
160, 9040, 0.0187173,
160, 9167.32, 0.0189598,
160, 9294.65, 0.0192036,
160, 9421.97, 0.0194445,
160, 9549.3, 0.0196867,
160, 9676.62, 0.0199259,
160, 9803.94, 0.0201644,
160, 9931.27, 0.0204041,
160, 10058.6, 0.0206408,
160, 10185.9, 0.0208797,
160, 10313.2, 0.021115,
160, 10440.6, 0.0213495,
160, 10567.9, 0.0215861,
160, 10695.2, 0.0218187,
160, 10822.5, 0.0220529,
160, 10949.9, 0.0222867,
160, 11077.2, 0.0225197,
160, 11204.5, 0.0227542,
160, 11331.8, 0.0229853,
160, 11459.2, 0.023216,
160, 11586.5, 0.0234452,
160, 11713.8, 0.023674,
160, 11841.1, 0.0239018,
160, 11968.5, 0.0241286,
160, 12095.8, 0.024355,
160, 12223.1, 0.0245774,
160, 12350.4, 0.0248019,
160, 12477.7, 0.0250253,
160, 12605.1, 0.0252477,
160, 12732.4, 0.0254691,
160.8, 127.324, 0.000283292,
160.8, 254.648, 0.000568837,
160.8, 381.972, 0.000852363,
160.8, 509.296, 0.00113711,
160.8, 636.62, 0.00141965,
160.8, 763.944, 0.00170419,
160.8, 891.268, 0.00198649,
160.8, 1018.59, 0.00226998,
160.8, 1145.92, 0.00255199,
160.8, 1273.24, 0.00283514,
160.8, 1400.56, 0.00311881,
160.8, 1527.89, 0.00339951,
160.8, 1655.21, 0.00368202,
160.8, 1782.54, 0.00396161,
160.8, 1909.86, 0.0042437,
160.8, 2037.18, 0.00452573,
160.8, 2164.51, 0.00480528,
160.8, 2291.83, 0.00508681,
160.8, 2419.16, 0.00536539,
160.8, 2546.48, 0.00564593,
160.8, 2673.8, 0.0059266,
160.8, 2801.13, 0.00620429,
160.8, 2928.45, 0.00648389,
160.8, 3055.77, 0.00676314,
160.8, 3183.1, 0.00703943,
160.8, 3310.42, 0.00731795,
160.8, 3437.75, 0.00759348,
160.8, 3565.07, 0.00787086,
160.8, 3692.39, 0.00814783,
160.8, 3819.72, 0.00842183,
160.8, 3947.04, 0.00869792,
160.8, 4074.37, 0.00897354,
160.8, 4201.69, 0.00924616,
160.8, 4329.01, 0.00952056,
160.8, 4456.34, 0.00979467,
160.8, 4583.66, 0.0100656,
160.8, 4710.99, 0.0103384,
160.8, 4838.31, 0.0106082,
160.8, 4965.63, 0.010881,
160.8, 5092.96, 0.0111535,
160.8, 5220.28, 0.0114228,
160.8, 5347.61, 0.011694,
160.8, 5474.93, 0.0119647,
160.8, 5602.25, 0.0122324,
160.8, 5729.58, 0.012502,
160.8, 5856.9, 0.0127684,
160.8, 5984.23, 0.0130368,
160.8, 6111.55, 0.013302,
160.8, 6238.87, 0.013569,
160.8, 6366.2, 0.0138328,
160.8, 6493.52, 0.0140985,
160.8, 6620.85, 0.0143634,
160.8, 6748.17, 0.0146254,
160.8, 6875.49, 0.0148867,
160.8, 7002.82, 0.0151495,
160.8, 7130.14, 0.0154093,
160.8, 7257.47, 0.0156707,
160.8, 7384.79, 0.0159291,
160.8, 7512.11, 0.0161894,
160.8, 7639.44, 0.0164463,
160.8, 7766.76, 0.0167025,
160.8, 7894.09, 0.016961,
160.8, 8021.41, 0.017217,
160.8, 8148.73, 0.0174759,
160.8, 8276.06, 0.0177313,
160.8, 8403.38, 0.0179858,
160.8, 8530.7, 0.0182396,
160.8, 8658.03, 0.0184954,
160.8, 8785.35, 0.0187478,
160.8, 8912.68, 0.0189994,
160.8, 9040, 0.0192499,
160.8, 9167.32, 0.0195001,
160.8, 9294.65, 0.0197519,
160.8, 9421.97, 0.0200002,
160.8, 9549.3, 0.0202478,
160.8, 9676.62, 0.0204946,
160.8, 9803.94, 0.0207405,
160.8, 9931.27, 0.0209854,
160.8, 10058.6, 0.0212294,
160.8, 10185.9, 0.0214729,
160.8, 10313.2, 0.0217151,
160.8, 10440.6, 0.0219566,
160.8, 10567.9, 0.0221951,
160.8, 10695.2, 0.0224375,
160.8, 10822.5, 0.0226792,
160.8, 10949.9, 0.0229198,
160.8, 11077.2, 0.0231598,
160.8, 11204.5, 0.0233968,
160.8, 11331.8, 0.0236357,
160.8, 11459.2, 0.0238744,
160.8, 11586.5, 0.0241091,
160.8, 11713.8, 0.0243458,
160.8, 11841.1, 0.0245814,
160.8, 11968.5, 0.024813,
160.8, 12095.8, 0.0250473,
160.8, 12223.1, 0.0252776,
160.8, 12350.4, 0.0255077,
160.8, 12477.7, 0.0257378,
160.8, 12605.1, 0.0259657,
160.8, 12732.4, 0.0261925,
161.6, 127.324, 0.000292293,
161.6, 254.648, 0.000585119,
161.6, 381.972, 0.000876958,
161.6, 509.296, 0.00117146,
161.6, 636.62, 0.00146308,
161.6, 763.944, 0.00175455,
161.6, 891.268, 0.00204585,
161.6, 1018.59, 0.00233637,
161.6, 1145.92, 0.0026295,
161.6, 1273.24, 0.00291961,
161.6, 1400.56, 0.0032095,
161.6, 1527.89, 0.00349914,
161.6, 1655.21, 0.00379127,
161.6, 1782.54, 0.00408007,
161.6, 1909.86, 0.00436946,
161.6, 2037.18, 0.00466078,
161.6, 2164.51, 0.00494908,
161.6, 2291.83, 0.00523712,
161.6, 2419.16, 0.00552433,
161.6, 2546.48, 0.00581458,
161.6, 2673.8, 0.00610121,
161.6, 2801.13, 0.00638755,
161.6, 2928.45, 0.00667628,
161.6, 3055.77, 0.00696195,
161.6, 3183.1, 0.00724725,
161.6, 3310.42, 0.00753437,
161.6, 3437.75, 0.00781844,
161.6, 3565.07, 0.00810256,
161.6, 3692.39, 0.00838844,
161.6, 3819.72, 0.00867082,
161.6, 3947.04, 0.00895319,
161.6, 4074.37, 0.00923729,
161.6, 4201.69, 0.00951869,
161.6, 4329.01, 0.00979921,
161.6, 4456.34, 0.0100818,
161.6, 4583.66, 0.0103609,
161.6, 4710.99, 0.0106405,
161.6, 4838.31, 0.0109229,
161.6, 4965.63, 0.0112018,
161.6, 5092.96, 0.0114804,
161.6, 5220.28, 0.0117581,
161.6, 5347.61, 0.0120386,
161.6, 5474.93, 0.0123154,
161.6, 5602.25, 0.0125915,
161.6, 5729.58, 0.0128701,
161.6, 5856.9, 0.0131449,
161.6, 5984.23, 0.0134192,
161.6, 6111.55, 0.0136928,
161.6, 6238.87, 0.0139657,
161.6, 6366.2, 0.0142411,
161.6, 6493.52, 0.0145127,
161.6, 6620.85, 0.0147836,
161.6, 6748.17, 0.0150538,
161.6, 6875.49, 0.0153233,
161.6, 7002.82, 0.0155923,
161.6, 7130.14, 0.0158631,
161.6, 7257.47, 0.0161304,
161.6, 7384.79, 0.0163974,
161.6, 7512.11, 0.0166634,
161.6, 7639.44, 0.0169288,
161.6, 7766.76, 0.0171932,
161.6, 7894.09, 0.017459,
161.6, 8021.41, 0.0177241,
161.6, 8148.73, 0.0179885,
161.6, 8276.06, 0.0182519,
161.6, 8403.38, 0.0185147,
161.6, 8530.7, 0.0187767,
161.6, 8658.03, 0.0190378,
161.6, 8785.35, 0.0192961,
161.6, 8912.68, 0.0195559,
161.6, 9040, 0.0198154,
161.6, 9167.32, 0.020074,
161.6, 9294.65, 0.0203316,
161.6, 9421.97, 0.0205859,
161.6, 9549.3, 0.0208417,
161.6, 9676.62, 0.0210971,
161.6, 9803.94, 0.0213485,
161.6, 9931.27, 0.0216019,
161.6, 10058.6, 0.0218542,
161.6, 10185.9, 0.022104,
161.6, 10313.2, 0.0223543,
161.6, 10440.6, 0.022603,
161.6, 10567.9, 0.0228547,
161.6, 10695.2, 0.0231025,
161.6, 10822.5, 0.0233529,
161.6, 10949.9, 0.0235993,
161.6, 11077.2, 0.0238454,
161.6, 11204.5, 0.0240921,
161.6, 11331.8, 0.0243361,
161.6, 11459.2, 0.0245792,
161.6, 11586.5, 0.0248218,
161.6, 11713.8, 0.025065,
161.6, 11841.1, 0.025306,
161.6, 11968.5, 0.0255462,
161.6, 12095.8, 0.0257852,
161.6, 12223.1, 0.0260232,
161.6, 12350.4, 0.026261,
161.6, 12477.7, 0.0264967,
161.6, 12605.1, 0.0267323,
161.6, 12732.4, 0.0269667,
162.4, 127.324, 0.000302175,
162.4, 254.648, 0.000604048,
162.4, 381.972, 0.000905779,
162.4, 509.296, 0.00120463,
162.4, 636.62, 0.00150593,
162.4, 763.944, 0.00180705,
162.4, 891.268, 0.00210743,
162.4, 1018.59, 0.00240761,
162.4, 1145.92, 0.00270761,
162.4, 1273.24, 0.0030074,
162.4, 1400.56, 0.00330696,
162.4, 1527.89, 0.00360638,
162.4, 1655.21, 0.00390516,
162.4, 1782.54, 0.00420376,
162.4, 1909.86, 0.00450216,
162.4, 2037.18, 0.00480034,
162.4, 2164.51, 0.00509829,
162.4, 2291.83, 0.00539565,
162.4, 2419.16, 0.0056927,
162.4, 2546.48, 0.00598966,
162.4, 2673.8, 0.00628601,
162.4, 2801.13, 0.00658178,
162.4, 2928.45, 0.00687737,
