m, c, val,
160, 127.324, 0.000206296,
160, 254.648, 0.000412674,
160, 381.972, 0.000622245,
160, 509.296, 0.000828094,
160, 636.62, 0.00103472,
160, 763.944, 0.00124113,
160, 891.268, 0.00144737,
160, 1018.59, 0.00165608,
160, 1145.92, 0.00186277,
160, 1273.24, 0.00206821,
160, 1400.56, 0.00227439,
160, 1527.89, 0.00248036,
160, 1655.21, 0.00268609,
160, 1782.54, 0.00289268,
160, 1909.86, 0.00310145,
160, 2037.18, 0.00330756,
160, 2164.51, 0.00351345,
160, 2291.83, 0.00371908,
160, 2419.16, 0.00392443,
160, 2546.48, 0.00413062,
160, 2673.8, 0.00433649,
160, 2801.13, 0.00454202,
160, 2928.45, 0.00474722,
160, 3055.77, 0.00495322,
160, 3183.1, 0.0051577,
160, 3310.42, 0.00536297,
160, 3437.75, 0.00556787,
160, 3565.07, 0.00577356,
160, 3692.39, 0.00597529,
160, 3819.72, 0.0061802,
160, 3947.04, 0.00638468,
160, 4074.37, 0.00658898,
160, 4201.69, 0.00679284,
160, 4329.01, 0.00699761,
160, 4456.34, 0.00719801,
160, 4583.66, 0.00740185,
160, 4710.99, 0.00760524,
160, 4838.31, 0.00781007,
160, 4965.63, 0.00801088,
160, 5092.96, 0.00821487,
160, 5220.28, 0.00841618,
160, 5347.61, 0.00861918,
160, 5474.93, 0.0088218,
160, 5602.25, 0.00902175,
160, 5729.58, 0.0092251,
160, 5856.9, 0.00942558,
160, 5984.23, 0.00962553,
160, 6111.55, 0.00982722,
160, 6238.87, 0.0100277,
160, 6366.2, 0.0102298,
160, 6493.52, 0.0104291,
160, 6620.85, 0.0106279,
160, 6748.17, 0.010826,
160, 6875.49, 0.0110257,
160, 7002.82, 0.0112247,
160, 7130.14, 0.011423,
160, 7257.47, 0.0116207,
160, 7384.79, 0.0118177,
160, 7512.11, 0.0120159,
160, 7639.44, 0.0122116,
160, 7766.76, 0.0124085,
160, 7894.09, 0.0126047,
160, 8021.41, 0.0128029,
160, 8148.73, 0.0129965,
160, 8276.06, 0.0131936,
160, 8403.38, 0.0133905,
160, 8530.7, 0.0135868,
