m, c, val,
402, 52521.1, 0.000238914,
402, 53316.9, 0.000245926,
402, 54112.7, 0.000252873,
402, 54908.5, 0.000260027,
402, 55704.2, 0.000267277,
402, 56500, 0.00027449,
402, 57295.8, 0.000281876,
402, 58091.6, 0.000289357,
402, 58887.3, 0.00029696,
402, 59683.1, 0.000304434,
402, 60478.9, 0.000312175,
402, 61274.7, 0.000319958,
402, 62070.4, 0.000327675,
402, 62866.2, 0.000335623,
402, 63662, 0.000343621,
402, 64457.8, 0.000351737,
402, 65253.5, 0.000359719,
402, 66049.3, 0.000367953,
402, 66845.1, 0.000376234,
402, 67640.9, 0.000384463,
402, 68436.6, 0.000392859,
402, 69232.4, 0.000401359,
402, 70028.2, 0.000409942,
402, 70823.9, 0.00041837,
402, 71619.7, 0.000427054,
402, 72415.5, 0.000435816,
402, 73211.3, 0.00044443,
402, 74007, 0.000453286,
402, 74802.8, 0.000462217,
402, 75598.6, 0.000471008,
402, 76394.4, 0.000480026,
402, 77190.1, 0.000489115,
402, 77985.9, 0.000498109,
402, 78781.7, 0.000507247,
402, 79577.5, 0.000516485,
404, 795.775, 2.13752e-07,
404, 1591.55, 4.33727e-07,
404, 2387.32, 5.93097e-07,
404, 3183.1, 1.07043e-06,
404, 3978.87, 1.64063e-06,
404, 4774.65, 2.34604e-06,
404, 5570.42, 3.02371e-06,
404, 6366.2, 3.94728e-06,
404, 7161.97, 5.03521e-06,
404, 7957.75, 6.21534e-06,
404, 8753.52, 7.3941e-06,
404, 9549.3, 8.79406e-06,
404, 10345.1, 1.03658e-05,
404, 11140.8, 1.2023e-05,
404, 11936.6, 1.38511e-05,
404, 12732.4, 1.55792e-05,
404, 13528.2, 1.76288e-05,
404, 14323.9, 1.97654e-05,
404, 15119.7, 2.20681e-05,
404, 15915.5, 2.4299e-05,
404, 16711.3, 2.68206e-05,
404, 17507, 2.94393e-05,
404, 18302.8, 3.22106e-05,
404, 19098.6, 3.51127e-05,
404, 19894.4, 3.79375e-05,
404, 20690.1, 4.10547e-05,
404, 21485.9, 4.43003e-05,
404, 22281.7, 4.7638e-05,
404, 23077.5, 5.11276e-05,
404, 23873.2, 5.45721e-05,
404, 24669, 5.82822e-05,
404, 25464.8, 6.20788e-05,
404, 26260.6, 6.60289e-05,
404, 27056.3, 7.01022e-05,
404, 27852.1, 7.4128e-05,
404, 28647.9, 7.84144e-05,
404, 29443.7, 8.27841e-05,
404, 30239.4, 8.73056e-05,
404, 31035.2, 9.19466e-05,
404, 31831, 9.65391e-05,
404, 32626.8, 0.000101386,
404, 33422.5, 0.00010635,
404, 34218.3, 0.00011143,
404, 35014.1, 0.000116625,
404, 35809.9, 0.000121773,
404, 36605.6, 0.000127166,
404, 37401.4, 0.000132672,
404, 38197.2, 0.000138291,
404, 38993, 0.000144021,
404, 39788.7, 0.000149705,
404, 40584.5, 0.000155625,
404, 41380.3, 0.000161654,
404, 42176.1, 0.000167792,
404, 42971.8, 0.000174038,
404, 43767.6, 0.000180392,
404, 44563.4, 0.000186668,
404, 45359.2, 0.000193204,
404, 46154.9, 0.000199878,
404, 46950.7, 0.000206616,
404, 47746.5, 0.000213459,
404, 48542.3, 0.000220224,
404, 49338, 0.000227241,
404, 50133.8, 0.000234391,
404, 50929.6, 0.000241603,
404, 51725.4, 0.000248915,
404, 52521.1, 0.000256144,
404, 53316.9, 0.00026365,
404, 54112.7, 0.000271217,
404, 54908.5, 0.000278883,
404, 55704.2, 0.000286671,
404, 56500, 0.000294332,
404, 57295.8, 0.000302276,
404, 58091.6, 0.000310269,
404, 58887.3, 0.000318358,
404, 59683.1, 0.000326402,
404, 60478.9, 0.000334631,
404, 61274.7, 0.00034298,
404, 62070.4, 0.000351379,
404, 62866.2, 0.000359897,
404, 63662, 0.000368288,
404, 64457.8, 0.000376937,
404, 65253.5, 0.000385635,
404, 66049.3, 0.000394442,
404, 66845.1, 0.000403175,
404, 67640.9, 0.000412069,
404, 68436.6, 0.000421079,
404, 69232.4, 0.000430133,
404, 70028.2, 0.00043929,
404, 70823.9, 0.000448338,
404, 71619.7, 0.000457577,
404, 72415.5, 0.000466916,
404, 73211.3, 0.00047633,
404, 74007, 0.000485632,
404, 74802.8, 0.000495113,
404, 75598.6, 0.000504694,
404, 76394.4, 0.000514344,
404, 77190.1, 0.000523874,
404, 77985.9, 0.000533617,
404, 78781.7, 0.000543426,
404, 79577.5, 0.000553103,
406, 795.775, 2.05062e-07,
406, 1591.55, 4.20658e-07,
406, 2387.32, 6.13571e-07,
406, 3183.1, 1.10728e-06,
406, 3978.87, 1.69791e-06,
406, 4774.65, 2.42844e-06,
406, 5570.42, 3.32076e-06,
406, 6366.2, 4.31695e-06,
406, 7161.97, 5.48047e-06,
406, 7957.75, 6.56039e-06,
406, 8753.52, 7.97003e-06,
406, 9549.3, 9.47285e-06,
406, 10345.1, 1.11505e-05,
406, 11140.8, 1.29205e-05,
406, 11936.6, 1.48644e-05,
406, 12732.4, 1.67351e-05,
406, 13528.2, 1.89216e-05,
406, 14323.9, 2.12028e-05,
406, 15119.7, 2.36524e-05,
406, 15915.5, 2.62024e-05,
406, 16711.3, 2.89134e-05,
406, 17507, 3.17613e-05,
406, 18302.8, 3.45386e-05,
406, 19098.6, 3.76242e-05,
406, 19894.4, 4.08445e-05,
406, 20690.1, 4.41558e-05,
406, 21485.9, 4.76317e-05,
406, 22281.7, 5.124e-05,
406, 23077.5, 5.49435e-05,
406, 23873.2, 5.88046e-05,
406, 24669, 6.26227e-05,
406, 25464.8, 6.67234e-05,
406, 26260.6, 7.09524e-05,
406, 27056.3, 7.52679e-05,
406, 27852.1, 7.97447e-05,
