m, c, val,
160, 127.324, 0.000308755,
160, 254.648, 0.000616622,
160, 381.972, 0.000924354,
160, 509.296, 0.00123236,
160, 636.62, 0.00154048,
160, 763.944, 0.00184676,
160, 891.268, 0.00215459,
160, 1018.59, 0.00246231,
160, 1145.92, 0.00277009,
160, 1273.24, 0.00307637,
160, 1400.56, 0.00338253,
160, 1527.89, 0.00368679,
160, 1655.21, 0.00399256,
160, 1782.54, 0.00429813,
160, 1909.86, 0.00460347,
160, 2037.18, 0.00490855,
160, 2164.51, 0.0052123,
160, 2291.83, 0.00551694,
160, 2419.16, 0.00582011,
160, 2546.48, 0.00612301,
160, 2673.8, 0.00642561,
160, 2801.13, 0.00672789,
160, 2928.45, 0.00702914,
160, 3055.77, 0.00733182,
160, 3183.1, 0.00763288,
160, 3310.42, 0.00793375,
160, 3437.75, 0.00823547,
160, 3565.07, 0.00853563,
160, 3692.39, 0.0088344,
160, 3819.72, 0.00913387,
160, 3947.04, 0.00943291,
160, 4074.37, 0.00973062,
160, 4201.69, 0.0100279,
160, 4329.01, 0.0103247,
160, 4456.34, 0.0106211,
160, 4583.66, 0.010917,
160, 4710.99, 0.0112124,
160, 4838.31, 0.0115064,
160, 4965.63, 0.0118007,
160, 5092.96, 0.0120948,
160, 5220.28, 0.0123872,
160, 5347.61, 0.012679,
160, 5474.93, 0.0129702,
160, 5602.25, 0.01326,
160, 5729.58, 0.0135499,
160, 5856.9, 0.0138385,
160, 5984.23, 0.0141265,
160, 6111.55, 0.0144143,
160, 6238.87, 0.0147002,
160, 6366.2, 0.014986,
160, 6493.52, 0.0152711,
160, 6620.85, 0.0155558,
160, 6748.17, 0.0158403,
160, 6875.49, 0.0161255,
160, 7002.82, 0.0164092,
160, 7130.14, 0.0166917,
160, 7257.47, 0.016974,
160, 7384.79, 0.0172556,
160, 7512.11, 0.0175358,
160, 7639.44, 0.0178153,
160, 7766.76, 0.0180939,
160, 7894.09, 0.0183718,
160, 8021.41, 0.0186488,
160, 8148.73, 0.018925,
160, 8276.06, 0.0191999,
160, 8403.38, 0.0194739,
160, 8530.7, 0.0197474,
160, 8658.03, 0.0200196,
160, 8785.35, 0.0202905,
160, 8912.68, 0.0205608,
160, 9040, 0.0208293,
160, 9167.32, 0.0210974,
160, 9294.65, 0.0213645,
160, 9421.97, 0.0216306,
160, 9549.3, 0.0218957,
160, 9676.62, 0.0221597,
160, 9803.94, 0.0224225,
160, 9931.27, 0.0226836,
160, 10058.6, 0.0229443,
160, 10185.9, 0.0232038,
160, 10313.2, 0.0234623,
160, 10440.6, 0.0237196,
160, 10567.9, 0.0239764,
160, 10695.2, 0.0242349,
160, 10822.5, 0.0244923,
160, 10949.9, 0.0247481,
160, 11077.2, 0.0250034,
160, 11204.5, 0.0252574,
160, 11331.8, 0.0255098,
160, 11459.2, 0.0257621,
160, 11586.5, 0.0260118,
160, 11713.8, 0.0262615,
160, 11841.1, 0.0265091,
160, 11968.5, 0.0267568,
160, 12095.8, 0.0270022,
160, 12223.1, 0.0272475,
160, 12350.4, 0.0274906,
160, 12477.7, 0.0277323,
160, 12605.1, 0.0279748,
160, 12732.4, 0.0282142,
160.8, 127.324, 0.000316417,
160.8, 254.648, 0.000635298,
160.8, 381.972, 0.000951041,
160.8, 509.296, 0.00126844,
160.8, 636.62, 0.00158425,
160.8, 763.944, 0.00190003,
160.8, 891.268, 0.00221726,
160.8, 1018.59, 0.00253286,
160.8, 1145.92, 0.00284851,
160.8, 1273.24, 0.00316255,
160.8, 1400.56, 0.00347925,
160.8, 1527.89, 0.00379299,
160.8, 1655.21, 0.00410801,
160.8, 1782.54, 0.00442138,
160.8, 1909.86, 0.00473473,
160.8, 2037.18, 0.00504906,
160.8, 2164.51, 0.00536051,
160.8, 2291.83, 0.00567311,
160.8, 2419.16, 0.00598402,
160.8, 2546.48, 0.00629601,
160.8, 2673.8, 0.00660798,
160.8, 2801.13, 0.00691887,
160.8, 2928.45, 0.00722971,
160.8, 3055.77, 0.00754148,
160.8, 3183.1, 0.00785034,
160.8, 3310.42, 0.00816029,
160.8, 3437.75, 0.00846991,
160.8, 3565.07, 0.00877804,
160.8, 3692.39, 0.00908557,
160.8, 3819.72, 0.00939405,
160.8, 3947.04, 0.00970103,
160.8, 4074.37, 0.0100063,
160.8, 4201.69, 0.0103124,
160.8, 4329.01, 0.0106181,
160.8, 4456.34, 0.0109232,
160.8, 4583.66, 0.0112257,
160.8, 4710.99, 0.0115298,
160.8, 4838.31, 0.0118325,
