m, c, val,
400, 795.775, 6.53038e-08,
400, 1591.55, 1.72201e-07,
400, 2387.32, 3.50829e-07,
400, 3183.1, 6.01273e-07,
400, 3978.87, 9.23616e-07,
400, 4774.65, 1.31794e-06,
400, 5570.42, 1.78434e-06,
400, 6366.2, 2.32289e-06,
400, 7161.97, 2.93368e-06,
400, 7957.75, 3.61679e-06,
400, 8753.52, 4.37232e-06,
400, 9549.3, 5.20036e-06,
400, 10345.1, 6.10099e-06,
400, 11140.8, 7.08313e-06,
400, 11936.6, 8.12729e-06,
400, 12732.4, 9.24408e-06,
400, 13528.2, 1.04336e-05,
400, 14323.9, 1.1696e-05,
400, 15119.7, 1.30398e-05,
400, 15915.5, 1.4445e-05,
400, 16711.3, 1.59231e-05,
400, 17507, 1.74743e-05,
400, 18302.8, 1.91048e-05,
400, 19098.6, 2.07982e-05,
400, 19894.4, 2.25648e-05,
400, 20690.1, 2.44097e-05,
400, 21485.9, 2.6318e-05,
400, 22281.7, 2.83066e-05,
400, 23077.5, 3.03564e-05,
400, 23873.2, 3.24873e-05,
400, 24669, 3.46781e-05,
400, 25464.8, 3.695e-05,
400, 26260.6, 3.92813e-05,
400, 27056.3, 4.16929e-05,
400, 27852.1, 4.41645e-05,
400, 28647.9, 4.67145e-05,
400, 29443.7, 4.93355e-05,
400, 30239.4, 5.20132e-05,
400, 31035.2, 5.47706e-05,
400, 31831, 5.75877e-05,
400, 32626.8, 6.04801e-05,
400, 33422.5, 6.34414e-05,
400, 34218.3, 6.6471e-05,
400, 35014.1, 6.95575e-05,
400, 35809.9, 7.27196e-05,
400, 36605.6, 7.59487e-05,
400, 37401.4, 7.92445e-05,
400, 38197.2, 8.26063e-05,
400, 38993, 8.6024e-05,
400, 39788.7, 8.94563e-05,
400, 40584.5, 9.30087e-05,
400, 41380.3, 9.66254e-05,
400, 42176.1, 0.000100306,
400, 42971.8, 0.00010405,
400, 43767.6, 0.000107857,
400, 44563.4, 0.000111726,
400, 45359.2, 0.000115658,
400, 46154.9, 0.000119652,
400, 46950.7, 0.000123707,
400, 47746.5, 0.000127823,
400, 48542.3, 0.000131944,
400, 49338, 0.000136174,
400, 50133.8, 0.000140465,
400, 50929.6, 0.000144815,
400, 51725.4, 0.000149231,
400, 52521.1, 0.000153697,
400, 53316.9, 0.000158221,
400, 54112.7, 0.000162803,
400, 54908.5, 0.000167451,
400, 55704.2, 0.000172081,
400, 56500, 0.000176823,
400, 57295.8, 0.000181622,
400, 58091.6, 0.000186484,
400, 58887.3, 0.000191391,
400, 59683.1, 0.000196363,
400, 60478.9, 0.000201315,
400, 61274.7, 0.000206373,
400, 62070.4, 0.000211494,
400, 62866.2, 0.000216656,
400, 63662, 0.000221881,
400, 64457.8, 0.000227088,
400, 65253.5, 0.000232394,
400, 66049.3, 0.000237757,
400, 66845.1, 0.000243172,
400, 67640.9, 0.000248625,
400, 68436.6, 0.000254077,
400, 69232.4, 0.000259614,
400, 70028.2, 0.000265209,
400, 70823.9, 0.000270852,
400, 71619.7, 0.000276473,
400, 72415.5, 0.000282195,
400, 73211.3, 0.000287963,
400, 74007, 0.000293765,
400, 74802.8, 0.000299563,
400, 75598.6, 0.00030545,
400, 76394.4, 0.000311372,
400, 77190.1, 0.000317345,
400, 77985.9, 0.000323295,
400, 78781.7, 0.000329339,
400, 79577.5, 0.000335424,
402, 795.775, 6.4298e-08,
402, 1591.55, 1.76109e-07,
402, 2387.32, 3.65593e-07,
402, 3183.1, 6.32853e-07,
402, 3978.87, 9.77994e-07,
402, 4774.65, 1.40112e-06,
402, 5570.42, 1.96319e-06,
